Text	Label
Siempre me ignoran y ya me cansé	Enojo
Me dijeron algo que me hizo estallar	Enojo
Estoy al límite de mi paciencia	Enojo
No puedo creer la injusticia que viví	Enojo
Me sacan de quicio con sus actitudes	Enojo
Otra vez hicieron lo que quisieron sin consultarme	Enojo
No es justo que me culpen por algo que no hice	Enojo
Estoy furioso con todo lo que pasó hoy	Enojo
Me hablaron con un tono que me ofendió mucho	Enojo
Me cansé de ser siempre el que cede	Enojo
Estoy harto de repetir las mismas cosas	Enojo
No escuchan lo que digo y eso me molesta	Enojo
Siempre hacen lo que quieren sin pensar en los demás	Enojo
Me arruinaron el día con su actitud	Enojo
Estoy completamente frustrado con esta situación	Enojo
No me gusta que me subestimen	Enojo
Gritaron sin razón y eso me hizo enojar	Enojo
No tolero más esta falta de respeto	Enojo
Me dejaron esperando y ni avisaron	Enojo
Estoy que exploto de la bronca	Enojo
No tienen consideración por nadie	Enojo
Volvieron a fallarme y eso me enoja	Enojo
Estoy muy molesto con lo que hicieron	Enojo
No cumplieron con lo que prometieron	Enojo
Estoy irritado desde que empezó el día	Enojo
Me hacen perder el tiempo una y otra vez	Enojo
Estoy cansado de aguantar siempre lo mismo	Enojo
Otra vez me dejaron solo con todo el trabajo	Enojo
No me merezco que me traten así	Enojo
Estoy lleno de bronca y no puedo disimularlo	Enojo
Me ignoran y luego actúan como si nada	Enojo
No puedo creer lo mal que manejaron todo	Enojo
Se burlaron de mí y eso me enoja	Enojo
Me gritaron delante de todos sin motivo	Enojo
Siempre tienen una excusa para todo	Enojo
Estoy indignado con esta situación	Enojo
Estoy tan enojado que no quiero hablar con nadie	Enojo
Me trataron de forma injusta	Enojo
No me dieron la oportunidad de explicar	Enojo
Se aprovecharon de mi buena voluntad	Enojo
Estoy fastidiado con su comportamiento	Enojo
Me exigen todo pero no valoran nada	Enojo
Otra vez hicieron lo contrario a lo que pedí	Enojo
Estoy muy enojado con su falta de compromiso	Enojo
Me hicieron sentir mal a propósito	Enojo
No puedo soportar tanta hipocresía	Enojo
Estoy muy molesto por cómo se manejaron	Enojo
Se desentendieron de todo y lo dejaron en mis manos	Enojo
Estoy muy enojado	Enojo
Esto me hizo explotar	Enojo
No soporto esta situación	Enojo
Estoy furioso	Enojo
Me sacaron de quicio	Enojo
Estoy harto de todo	Enojo
Esto me enoja mucho	Enojo
Me irrita demasiado	Enojo
Estoy muy molesto	Enojo
No aguanto más	Enojo
Me saca de las casillas	Enojo
Estoy lleno de rabia	Enojo
Esto me pone mal	Enojo
Estoy muy alterado	Enojo
No tolero esto	Enojo
Estoy a punto de estallar	Enojo
Esto me fastidia mucho	Enojo
Estoy re caliente	Enojo
No quiero hablar del enojo que tengo	Enojo
Estoy furioso por dentro	Enojo
Me hicieron perder la paciencia	Enojo
Estoy al límite	Enojo
No puedo calmarme	Enojo
Estoy rojo de furia	Enojo
Estoy muy frustrado	Enojo
Estoy que grito	Enojo
Esto me colmó la paciencia	Enojo
Me siento traicionado y enojado	Enojo
Estoy muy indignado	Enojo
No puedo con esta bronca	Enojo
Me dejaron sin palabras del enojo	Enojo
Estoy gritando de rabia	Enojo
Estoy completamente irritado	Enojo
Me molesta muchísimo	Enojo
Estoy hirviendo por dentro	Enojo
Me hicieron enojar feo	Enojo
Esto me saca loco	Enojo
Estoy lleno de bronca	Enojo
Estoy muy mal por esta situación	Enojo
Esto no tiene perdón	Enojo
Estoy perdiendo el control	Enojo
Estoy cansado de todo	Enojo
Esto me enfurece	Enojo
Estoy explotando de rabia	Enojo
No aguanto este enojo	Enojo
Me cuesta contenerme	Enojo
Estoy con una bronca tremenda	Enojo
Estoy fuera de mí	Enojo
Me hicieron estallar	Enojo
Estoy enojado de verdad	Enojo
Estoy re caliente, boludo	Enojo  
Qué carajo querés	Enojo  
Me tenés las pelotas llenas	Enojo  
Dejá de joder, pelotudo	Enojo  
No te soporto más, forro	Enojo  
Me calentás la cabeza	Enojo  
Sos un imbécil, dejá de molestar	Enojo  
Me da bronca este quilombo	Enojo  
Andate a la mierda, basura	Enojo  
Estoy al horno con vos	Enojo  
No te banco ni un segundo	Enojo  
Sos un pelotudo bárbaro	Enojo  
Me chupa un huevo todo esto	Enojo  
No me rompas las bolas	Enojo  
Sos un cabeza de termo	Enojo  
Qué carajo hacés, boludo	Enojo  
Estoy podrido de vos	Enojo  
No me hinchés las pelotas	Enojo  
Andá a cagar, gil	Enojo  
Sos un nabo, dejate de joder	Enojo  
Estoy re podrido de esta mierda	Enojo  
Me calenté mal, boludo	Enojo  
No me jodás más	Enojo  
Me tenés re podrido	Enojo  
No te aguanto, forro	Enojo  
Sos un pelotudo de primera	Enojo  
Estoy que exploto, la puta madre	Enojo  
Andá a la concha de tu madre	Enojo  
No me rompas las pelotas más	Enojo  
Sos un inútil, dejá de molestar	Enojo  
Me sacaste, boludo	Enojo  
Estoy re caliente con vos	Enojo  
No me hinchés más las bolas	Enojo  
Me cansaste, pelotudo	Enojo  
Sos un desastre, dejate de joder	Enojo  
Estoy re caliente, la concha de tu madre	Enojo  
No me hables más, gil	Enojo  
Sos un hijo de puta, dejá de joder	Enojo  
Me caliento solo de verte	Enojo  
Dejá de joder, boludo de mierda	Enojo  
Me tenés las pelotas al plato	Enojo  
Estoy que voy a explotar, boludo	Enojo  
Andá a cagar, pelotudo	Enojo  
No te banco ni un minuto más	Enojo  
Sos un pelotudo sin remedio	Enojo  
Me tenés podrido, forro	Enojo  
Estoy re caliente con esta situación	Enojo  
Andate a la mierda, pelotudo	Enojo  
No me hinchés más, gil de mierda	Enojo  








Intento una y otra vez y no lo logro	Frustración
Siempre parece que me falta algo para llegar	Frustración
Hago todo bien y aun así no alcanza	Frustración
No entiendo qué estoy haciendo mal	Frustración
Estoy cansado de dar todo sin resultados	Frustración
Trabajo tanto y no obtengo nada a cambio	Frustración
Cuando estoy por conseguirlo, algo lo arruina	Frustración
Nada sale como lo planeo	Frustración
Estoy bloqueado y no sé cómo seguir	Frustración
Cada intento termina igual: en fracaso	Frustración
Es como si diera vueltas en círculo	Frustración
Siempre que avanzo, aparece un nuevo obstáculo	Frustración
Me esfuerzo mucho pero nadie lo nota	Frustración
Siento que no progreso aunque lo intento	Frustración
Lo tenía casi listo y se arruinó todo	Frustración
Estoy al borde de rendirme	Frustración
No puedo más con este sentimiento de impotencia	Frustración
Me molesta no poder controlar la situación	Frustración
Pongo todo de mí y no alcanza	Frustración
No entiendo por qué no me sale	Frustración
Siento que todo está en mi contra	Frustración
Estoy estancado y no veo salida	Frustración
No consigo lo que quiero por más que me esfuerce	Frustración
Siempre me falta un paso para lograrlo	Frustración
Me agota repetir el mismo error	Frustración
Lo intenté con todas mis fuerzas, y fallé	Frustración
No me dejan avanzar con tantas trabas	Frustración
Estoy frustrado con mis propios límites	Frustración
Pido ayuda y nadie responde	Frustración
Es como hablar con una pared	Frustración
Siento que el tiempo se me escapa sin lograr nada	Frustración
La situación me supera completamente	Frustración
Estoy decepcionado conmigo mismo	Frustración
Ya no sé qué hacer para mejorar	Frustración
No soporto seguir cometiendo los mismos errores	Frustración
Me esfuerzo más que los demás y no lo reconozco	Frustración
Me exigen resultados imposibles	Frustración
No tengo margen para equivocarme y eso me presiona	Frustración
Estoy al límite de lo que puedo soportar	Frustración
Tengo todo para hacerlo y aún así no puedo	Frustración
Lo arruiné todo sin querer	Frustración
Nada parece funcionar últimamente	Frustración
No puedo cumplir con las expectativas	Frustración
Me siento incapaz de resolverlo	Frustración
Estoy harto de que todo dependa de mí	Frustración
Siento que todo esfuerzo es en vano	Frustración
No es justo que me toque siempre lo más difícil	Frustración
Me sobrepasa la situación	Frustración
Estoy frustrado con mi desempeño	Frustración
Otra vez lo intenté y volví a fallar	Frustración
Nadie me da una oportunidad real	Frustración
No logro avanzar	Frustración
Estoy muy frustrado	Frustración
Nada sale como quiero	Frustración
Me siento bloqueado	Frustración
No puedo más con esto	Frustración
Todo me sale mal	Frustración
Estoy estancado	Frustración
No encuentro solución	Frustración
Estoy cansado de intentar	Frustración
Me siento atrapado	Frustración
No entiendo qué pasa	Frustración
Estoy perdiendo la paciencia	Frustración
Nada funciona bien	Frustración
Estoy desanimado	Frustración
No logro entender	Frustración
Esto me agota	Frustración
No encuentro salida	Frustración
Estoy muy decepcionado	Frustración
Me siento sin fuerzas	Frustración
No puedo resolverlo	Frustración
Estoy agotado mentalmente	Frustración
No me sale nada bien	Frustración
Me siento impotente	Frustración
Esto me desmotiva	Frustración
No sé qué hacer	Frustración
Estoy bloqueado mentalmente	Frustración
No logro concentrarme	Frustración
Siento que pierdo tiempo	Frustración
Estoy confundido y frustrado	Frustración
Me cuesta avanzar	Frustración
No puedo cumplirlo	Frustración
Me siento atascado	Frustración
Estoy desilusionado	Frustración
No encuentro la manera	Frustración
Estoy sin ideas	Frustración
Me siento frustrado conmigo mismo	Frustración
No puedo continuar	Frustración
Estoy sin motivación	Frustración
Esto me está superando	Frustración
No logro completar	Frustración
Me siento derrotado	Frustración
Estoy muy cansado mentalmente	Frustración
No encuentro respuesta	Frustración
Estoy perdiendo la esperanza	Frustración
Esto no tiene sentido	Frustración
Me siento paralizado	Frustración
Estoy muy molesto conmigo	Frustración
No sé cómo seguir	Frustración
Me tiene podrido esto	Frustración  
No da más esta situación	Frustración  
Estoy al horno con esto	Frustración  
No sale ni a palos	Frustración  
Estoy re quemado/a	Frustración  
No entiendo nada ya	Frustración  
Me da una bronca terrible	Frustración  
Esto no tiene sentido	Frustración  
No puedo más con esto	Frustración  
Me siento estancado/a	Frustración  
Todo me sale mal	Frustración  
Estoy a punto de explotar	Frustración  
No puedo avanzar	Frustración  
Estoy harto/a de esperar	Frustración  
Me cansa la cabeza	Frustración  
Esto es un bajón total	Frustración  
No encuentro la vuelta	Frustración  
Estoy re desanimado/a	Frustración  
Me agota esta situación	Frustración  
No logro entenderlo	Frustración  
Esto me está matando	Frustración  
Me quema la cabeza	Frustración  
Estoy podrido/a de esto	Frustración  
No me sale ni en pedo	Frustración  
Me frustra un montón	Frustración  
No puedo controlar esto	Frustración  
Estoy perdido/a ya	Frustración  
Me cuesta un montón	Frustración  
No sé qué hacer más	Frustración  
Esto es un desastre	Frustración  
Me siento bloqueado/a	Frustración  
No me banco más esto	Frustración  
Estoy re irritado/a	Frustración  
Me quiero pegar un tiro	Frustración  
Estoy a full de bronca	Frustración  
No funciona nada	Frustración  
Esto me saca la cabeza	Frustración  
No me queda paciencia	Frustración  
Me siento al límite	Frustración  
Estoy re frustrado/a	Frustración  
No encuentro solución	Frustración  
Me da ganas de llorar	Frustración  
Estoy sin salida	Frustración  
Me tienen podrido/a	Frustración  
No aguanto más esto	Frustración  
Estoy re caliente	Frustración  
Me siento atrapado/a	Frustración  
Esto no va para ningún lado	Frustración  
Me saca la cabeza todo esto	Frustración  










Tengo miedo de lo que pueda pasar	Miedo
Siento que algo malo está por suceder	Miedo
No puedo dejar de pensar en todas las cosas que podrían salir mal	Miedo
Estoy paralizado por el miedo	Miedo
Me da miedo hablar en público	Miedo
Cada ruido me hace saltar del susto	Miedo
Tengo miedo de quedarme solo	Miedo
No me atrevo a enfrentar esta situación	Miedo
El futuro me asusta mucho	Miedo
No sé si voy a poder con esto	Miedo
Me aterra decepcionar a los que confían en mí	Miedo
No quiero salir de casa, tengo miedo	Miedo
Tengo miedo de perder a alguien que amo	Miedo
No puedo dormir por todo lo que me preocupa	Miedo
Tengo miedo de no ser suficiente	Miedo
Me da pánico equivocarme frente a los demás	Miedo
Estoy constantemente pensando en lo peor	Miedo
No sé cómo enfrentar mis miedos	Miedo
Tengo miedo de que me pase algo malo	Miedo
Cada vez que estoy solo, me siento inseguro	Miedo
Siento un nudo en el estómago del miedo	Miedo
Tengo miedo de que todo se derrumbe	Miedo
Me da miedo pedir ayuda y que me rechacen	Miedo
No puedo dejar de temblar	Miedo
Me asusta lo rápido que cambia todo	Miedo
Tengo miedo de fallar en lo que me propuse	Miedo
Me da miedo que me juzguen	Miedo
Estoy muy nervioso, todo me da miedo hoy	Miedo
El miedo me impide avanzar	Miedo
Tengo miedo de que me hagan daño	Miedo
Me cuesta respirar cuando tengo miedo	Miedo
Me da miedo perder el control	Miedo
No quiero enfrentarme a esa conversación	Miedo
Estoy aterrado con lo que está pasando	Miedo
Me asusta pensar en lo que podría haber pasado	Miedo
No puedo estar tranquilo, algo me da miedo	Miedo
Siento miedo sin saber exactamente por qué	Miedo
Tengo miedo de equivocarme de nuevo	Miedo
No quiero volver a sentir ese terror	Miedo
Cada vez que pienso en eso me invade el miedo	Miedo
No puedo dejar de sentirme amenazado	Miedo
Me da miedo mostrar cómo me siento	Miedo
Tengo miedo de que todo se complique	Miedo
Estoy en alerta todo el tiempo por miedo	Miedo
No me atrevo a dar el primer paso	Miedo
Ese lugar me genera un miedo inexplicable	Miedo
Siento que el miedo me domina	Miedo
Tengo miedo de no poder defenderme	Miedo
Me da miedo que me abandonen	Miedo
No puedo enfrentar ese recuerdo, me da miedo	Miedo
El miedo me acompaña desde que desperté	Miedo
Tengo miedo	 Miedo
Estoy asustado	 Miedo
No me siento seguro	 Miedo
Siento temor	 Miedo
Estoy nervioso	 Miedo
Me siento vulnerable	 Miedo
Tengo miedo de fallar	 Miedo
No quiero arriesgarme	 Miedo
Me preocupa lo que pasará	 Miedo
Siento ansiedad	 Miedo
Tengo miedo al cambio	 Miedo
Me da miedo lo desconocido	 Miedo
Estoy inquieto	 Miedo
Siento pánico	 Miedo
No sé qué hacer	 Miedo
Estoy temeroso	 Miedo
Me siento inseguro	 Miedo
Tengo miedo de perder	 Miedo
Siento miedo interior	 Miedo
Estoy preocupado	 Miedo
No me siento tranquilo	 Miedo
Tengo miedo al rechazo	 Miedo
Siento incertidumbre	 Miedo
Estoy temblando	 Miedo
Me siento acorralado	 Miedo
Tengo miedo a lo peor	 Miedo
Siento miedo constante	 Miedo
Estoy en alerta	 Miedo
Me da miedo hablar	 Miedo
No quiero enfrentar esto	 Miedo
Estoy paralizado	 Miedo
Siento miedo intenso	 Miedo
Tengo miedo a equivocarme	 Miedo
Estoy preocupado por el futuro	 Miedo
Siento miedo profundo	 Miedo
Tengo miedo de sufrir	 Miedo
Estoy preocupado por mí	 Miedo
Me siento nervioso	 Miedo
Tengo miedo de ser juzgado	 Miedo
Siento temor constante	 Miedo
Estoy temeroso y preocupado	 Miedo
Me da miedo avanzar	 Miedo
No me siento protegido	 Miedo
Tengo miedo de perder el control	 Miedo
Siento miedo cuando estoy solo	 Miedo
Estoy inquieto y asustado	 Miedo
Me siento inseguro de mí	 Miedo
Tengo miedo de enfrentar problemas	 Miedo
No quiero arriesgar nada	 Miedo
Me agarró un cagazo	Miedo  
No sé qué hacer, posta	Miedo  
Me dio un susto bárbaro	Miedo  
Estoy re asustado/a	Miedo  
No puedo ni moverme	Miedo  
Me tiemblan las patas	Miedo  
Tengo la piel de gallina	Miedo  
Siento que me voy a morir	Miedo  
Estoy al horno, posta	Miedo  
Me está agarrando la locura	Miedo  
No sé si aguanto esto	Miedo  
Tengo miedo de lo que viene	Miedo  
Me estoy por caer a pedazos	Miedo  
No puedo ni respirar bien	Miedo  
Siento que me paralizo	Miedo  
Estoy con el corazón en la boca	Miedo  
No me animé a hacer nada	Miedo  
Tengo un nudo en la garganta	Miedo  
Me está carcomiendo el miedo	Miedo  
No doy pie con bola, estoy nervioso/a	Miedo  
Tengo miedo de equivocarme	Miedo  
Me estoy cagando todo	Miedo  
No sé cómo salir de esta	Miedo  
Estoy al borde del colapso	Miedo  
Siento que me falta el aire	Miedo  
Me está dando ansiedad mal	Miedo  
Tengo un frío que me recorre todo	Miedo  
No puedo dejar de pensar en eso	Miedo  
Estoy hecho/a un manojo de nervios	Miedo  
Me tiemblan las manos	Miedo  
Me agarró un cagazo bárbaro	Miedo  
